"id","start_time","title","weekend","duration","date"
17,"09:30:01","Princeton Elementary School",True,30,"2019-04-02"
18,"10:00:18","Centennial School",True,30,"2019-04-02"
19,"10:30:11","Athlone School",True,30,"2019-04-02"
20,"11:00:42","Centennial School",True,30,"2019-04-02"
21,"14:15:32","Edmonton Christian West School",True,30,"2019-04-02"
22,"10:30:03","Ladybug Playschool",True,30,"2019-04-03"
23,"11:00:51","Weinlos School",True,30,"2019-04-03"
24,"10:30:55","Die Kleine Kinderschule",True,30,"2019-04-04"
25,"13:00:29","Mills Haven School",True,30,"2019-04-04"
26,"09:30:11","Minchau School",True,30,"2019-04-05"
27,"12:00:24","Mills Haven School",True,30,"2019-04-05"
28,"12:30:56","Minchau School",True,30,"2019-04-05"
31,"09:30:07","Campbelltown Elementary",True,30,"2019-04-08"
32,"10:30:47","Die Kleine Kinderschule",True,30,"2019-04-08"
33,"11:00:22","Campbelltown Elementary",True,30,"2019-04-08"
34,"11:30:00","Chester Ronning School",True,30,"2019-04-08"
35,"12:00:12","Mimiw Sakahikan",True,30,"2019-04-08"
36,"12:30:59","Campbelltown Elementary",True,30,"2019-04-08"
37,"13:00:50","New Myrnam School Grade 3",True,30,"2019-04-08"
38,"13:30:24","Chester Ronning School",True,30,"2019-04-08"
39,"10:30:30","St. Boniface School",True,30,"2019-04-09"
40,"11:00:13","Linsford Park School",True,30,"2019-04-09"
41,"11:30:45","Sakaw Elementary School",True,30,"2019-04-09"
42,"09:30:19","Father Leo Green School",True,30,"2019-04-10"
43,"10:00:12","Thorsby Elementary School",True,30,"2019-04-10"
44,"11:00:43","St. Richard Catholic School",True,30,"2019-04-10"
45,"12:00:00","Father Leo Green School",True,30,"2019-04-10"
46,"10:30:48","Ecole Meridian Heights",True,30,"2019-04-11"
47,"11:00:16","Ecole Meridian Heights",True,30,"2019-04-11"
54,"10:00:32","Big Blue Blocks",True,120,"2019-04-15"
55,"12:30:00","Big Blue Blocks",True,120,"2019-04-15"
56,"15:00:37","Big Blue Blocks",True,120,"2019-04-15"
57,"13:15:41","Ecole Meridian Heights",True,60,"2019-04-17"
58,"11:00:22","Bird Search",True,120,"2019-04-19"
59,"13:00:50","Bird Search",True,120,"2019-04-19"
60,"15:00:01","Bird Search",True,60,"2019-04-19"
61,"11:00:33","Bird Search",True,120,"2019-04-20"
62,"13:00:15","Bird Search",True,120,"2019-04-20"
63,"15:00:27","Bird Search",True,60,"2019-04-20"
64,"11:00:47","Bird Search",True,120,"2019-04-21"
65,"13:00:46","Bird Search",True,120,"2019-04-21"
66,"15:00:57","Bird Search",True,60,"2019-04-21"
67,"11:00:48","Bird Search",True,120,"2019-04-22"
68,"13:00:05","Bird Search",True,120,"2019-04-22"
69,"15:00:23","Bird Search",True,60,"2019-04-22"
70,"10:00:32","Science Storytime",True,30,"2019-05-11"
71,"12:00:22","Family Science Time",True,90,"2019-05-11"
72,"10:30:51","Big Blue Blocks",True,60,"2019-05-11"
73,"14:00:49","Big Blue Blocks",True,120,"2019-05-11"
74,"10:00:30","Science Storytime",True,30,"2019-05-12"
75,"10:30:49","Big Blue Blocks",True,60,"2019-05-12"
76,"12:00:05","Family Science Time",True,90,"2019-05-12"
77,"14:00:27","Big Blue Blocks",True,120,"2019-05-12"
78,"10:00:10","Science Storytime",True,30,"2019-05-18"
79,"10:30:37","Big Blue Blocks",True,60,"2019-05-18"
80,"12:00:58","Family Science",True,90,"2019-05-18"
81,"14:00:25","Big Blue Blocks",True,120,"2019-05-18"
82,"10:00:55","Science Storytime",True,30,"2019-05-19"
83,"10:30:14","Big Blue Blocks",True,60,"2019-05-19"
84,"12:00:37","Family Science",True,90,"2019-05-19"
85,"14:00:57","Big Blue Blocks",True,120,"2019-05-19"
86,"10:00:24","Science Storytime",True,30,"2019-05-20"
87,"10:30:42","Big Blue Blocks",True,60,"2019-05-20"
88,"12:00:01","Family Science",True,90,"2019-05-20"
89,"14:00:45","Big Blue Blocks",True,120,"2019-05-20"
90,"10:00:45","Science Storytime",True,30,"2019-05-25"
91,"10:30:11","Big Blue Blocks",True,60,"2019-05-25"
92,"12:00:31","Family Science",True,90,"2019-05-25"
93,"14:00:48","Big Blue Blocks",True,120,"2019-05-25"
94,"10:00:32","Science Storytime",True,30,"2019-05-26"
95,"10:30:21","Big Blue Blocks",True,60,"2019-05-26"
96,"12:00:39","Family Science",True,90,"2019-05-26"
97,"14:00:55","Big Blue Blocks",True,120,"2019-05-26"
98,"10:00:22","Science Storytime",True,30,"2019-06-01"
99,"10:30:47","Big Blue Blocks",True,60,"2019-06-01"
100,"12:00:07","Family Science",True,90,"2019-06-01"
101,"14:00:28","Big Blue Blocks",True,120,"2019-06-01"
102,"10:00:58","Science Storytime",True,30,"2019-06-02"
103,"10:30:21","Big Blue Blocks",True,60,"2019-06-02"
104,"12:00:41","Family Science",True,90,"2019-06-02"
105,"14:00:16","Big Blue Blocks",True,120,"2019-06-02"
106,"10:00:33","Science Storytime",True,30,"2019-06-08"
107,"10:30:56","Big Blue Blocks",True,60,"2019-06-08"
108,"12:00:17","Family Science",True,90,"2019-06-08"
109,"14:00:36","Big Blue Blocks",True,120,"2019-06-08"
110,"10:00:57","Science Storytime",True,30,"2019-06-09"
111,"10:30:37","Big Blue Blocks",True,60,"2019-06-09"
112,"12:00:16","Family Science",True,90,"2019-06-09"
113,"14:00:48","Big Blue Blocks",True,120,"2019-06-09"
114,"10:00:18","Science Storytime",True,30,"2019-06-15"
115,"10:30:37","Big Blue Blocks",True,60,"2019-06-15"
116,"12:00:57","Family Science",True,90,"2019-06-15"
117,"14:00:20","Big Blue Blocks",True,120,"2019-06-15"
118,"10:00:51","Science Storytime",True,30,"2019-06-16"
119,"10:30:12","Big Blue Blocks",True,60,"2019-06-16"
120,"12:00:31","Family Science",True,90,"2019-06-16"
121,"14:00:52","Big Blue Blocks",True,120,"2019-06-16"
122,"10:30:03","Science Storytime",True,30,"2019-06-22"
123,"11:00:19","Big Blue Blocks",True,30,"2019-06-22"
124,"12:00:47","Family Science",True,90,"2019-06-22"
125,"14:00:08","Big Blue Blocks",True,120,"2019-06-22"
126,"10:30:20","Science Storytime",True,30,"2019-06-23"
127,"11:00:31","Big Blue Blocks",True,90,"2019-06-23"
128,"13:00:52","Family Science",True,90,"2019-06-23"
129,"15:00:06","Big Blue Blocks",True,120,"2019-06-23"
130,"10:30:17","Science Storytime",True,30,"2019-06-28"
131,"11:00:31","Big Blue Blocks",True,30,"2019-06-19"
132,"11:00:07","Big Blue Blocks",True,30,"2019-06-28"
133,"12:45:23","Family Science",True,60,"2019-06-28"
134,"14:00:02","Big Blue Blocks",True,120,"2019-06-28"
135,"10:30:40","Science Storytime",True,30,"2019-06-29"
136,"11:00:10","Big Blue Blocks",True,30,"2019-06-29"
137,"12:00:56","Family Science",True,120,"2019-06-29"
138,"14:00:12","Big Blue Blocks",True,120,"2019-06-29"
139,"10:30:30","Science Storytime",True,30,"2019-06-30"
140,"11:00:54","Big Blue Blocks",True,30,"2019-06-30"
141,"12:00:11","Family Science",True,120,"2019-06-30"
142,"14:00:33","Big Blue Blocks",True,120,"2019-06-19"
143,"14:00:57","Big Blue Blocks",True,120,"2019-06-30"
144,"10:30:20","Science Storytime",True,30,"2019-07-01"
145,"11:00:47","Big Blue Blocks",True,30,"2019-07-01"
146,"12:45:47","Family Science",True,60,"2019-07-01"
147,"14:00:19","Big Blue Blocks",True,120,"2019-07-01"
148,"10:30:40","Science Storytime",True,30,"2019-07-02"
149,"11:00:01","Big Blue Blocks",True,30,"2019-07-02"
150,"12:00:32","Family Science",True,120,"2019-07-02"
151,"14:00:52","Big Blue Blocks",True,120,"2019-07-02"
152,"10:30:38","Science Storytime",True,30,"2019-07-03"
153,"11:00:09","Big Blue Blocks",True,30,"2019-07-03"
154,"12:00:26","Family Science",True,120,"2019-07-03"
155,"14:00:43","Big Blue Blocks",True,60,"2019-07-03"
156,"10:30:32","Science Storytime",True,30,"2019-07-04"
